#MJD	u  uerr	g	gerr	r	rerr	i	ierr	z	zerr
58567.2941898	n n 19.879	0.239024	n	n n n n n
58572.3598727	n n 19.0771	0.133842	18.9707	0.192285 n n n n
58575.3938426	n n n	n	18.6645	0.147727  n n n n
58580.3559028	n n 18.4469	0.0914304	18.2842	0.101767  n n n n
58583.3583449	n n 18.3451	0.0901283	n	n n n n n
58586.2728819	n n 18.2515	0.0862823	n	n n n n n
58589.2951736	n n n	n	18.0667	0.186451  n n n n
58593.3157523	n n n	n	17.8445	0.0727935 n n n n
58596.274456	n n n	n	17.7492	0.0471498  n n n n
58600.2363542	n n 18.0738	0.0711942	n	n n n n n
58606.3038773	n n 18.0902	0.0648844	17.5734	0.066699  n n n n
58612.2474653	n n 18.111	0.0715927	17.5661	0.0643249  n n n n
58616.2981019	n n 18.192	0.0774862	17.4986	0.0539733  n n n n
58628.2868287	n n 18.235	0.0818076	17.523	0.062051  n n n n
58634.2698958	n n 18.5133	0.085531	17.6331	0.0746865  n n n n
58637.2076736	n n 18.631	0.0990774	17.7411	0.0686769  n n n n
58640.2331366	n n 18.7796	0.0995843	17.8387	0.0668288 n n n n
58643.2347569	n n 18.9195	0.123807	17.9771	0.0564897  n n n n
58648.1905324	n n n	n	18.0971	0.106658  n n n n
58651.1924653	n n 19.2301	0.260231	n	n  n n n n
58654.1919792	n n 19.3329	0.174392	18.2137	0.0833173  n n n n
58657.1922222	n n 19.3917	0.131729	n	n  n n n n
58660.2138426	n n n	n	18.3475	0.0738716 n n n n
58665.2700579	n n 19.3776	0.127311	18.2985	0.0710966  n n n n
58668.1721759	n n 19.4637	0.120835	18.3739	0.0931288  n n n n
58671.2046181	n n n	n	18.4766	0.111758  n n n n
58676.208588	n  n n	n	18.4333	0.100216  n n n n
58679.1926157	n n n	n	18.5013	0.0958775 n n n n
58682.2362037	n n 19.4308	0.175011	18.4775	0.0836839  n n n n
58685.1874074	n n 19.4154	0.124529	n	n  n n n n
58690.1731134	n n 19.5373	0.162292	18.3915	0.0773568  n n n n
58693.2497222	n n 19.573	0.212289	n	n n n n n
58716.144838	n  n n	n	19.4506	0.153833  n n n n
58597.02011141	19.104	0.004589250972630877	18.069499999999998	0.0073102667529982065	17.700499999999998	0.008435638683585541	17.732	0.024312741001376217	17.863	0.028444847951782412
58594.94674664	19.077	0.003399346342394467	18.0935	0.0068417833932389515	17.756	0.01039999999999992	17.796	0.011655470818461855	17.9255	0.008304215796809985
58598.98687654	19.163	0.0023323807579383508	18.084	0.0037363083384540164	17.649	0.008154140052758716	17.684	0.007993122043356803	17.8065	0.013887044321956898
58603.98076828	19.223	0.026999999999999247	18.067500000000003	0.014593149077563856	17.601	0.0377636068192641	17.576999999999998	0.015247622765533262	17.746000000000002	0.013971757226634074
58600.01589925	19.386	0.1683970176563576	18.055999999999997	0.008597480251020462	17.641	0.004017323597731534	17.663	0.002653299832284992	17.78	0.007499333303701689
58608.02113804	n	n	18.0835	0.009637945839233927	17.551	0.00884364178379022	17.5355	0.01638169710378016	17.683500000000002	0.009873702446398774
58613.93076385	19.533	0.008524474568363364	18.145	0.009077444574328426	17.554	0.0061481704595757036	17.503	0.02772525924134847	17.639499999999998	0.015951175505272065
58620.92441182	n	n	18.242	0.007591617288906216	17.535	0.021003233143236162	17.489	0.01533333333333315	17.539	0.002948538205792371
58626.90869549	n	n	18.235500000000002	0.02662724168966825	17.5505	0.009428149341201564	17.4725	0.013937001112147504	17.541	0.01357055636294983
58632.94248395	n	n	18.3935	0.01774852106514785	17.6495	0.01659789143234786	17.5445	0.007365459931327737	17.582	0.028061361335473187
58638.92959823	n	n	18.677	0.011568923891183885	17.85	0.003709447398198371	17.703000000000003	0.011832582135780544	17.734	0.012440257232067674
58644.9618059 	n	n	18.962	0.038018548104839706	18.035	0.051656945321998576	17.889000000000003	0.13785387190790102	17.8625	0.03245627828325302
58651.99188168	n	n	19.0835	0.030918238953731095	18.225	0.015169006738481617	18.049	0.007941141504536134	17.999	0.0030000000000001137
58657.97512476	n	n	19.2545	0.017731610191970358	18.2955	0.005688585061331215	18.1535	0.01168289347721697	18.1025	0.07820262143943797
58676.93830802	n	n	19.426	0.025364016506329166	18.451	0.012873554095964178	n	n	18.089	0.0008164965809277268
58698.92601829	n	n	19.705	0.023212185497180942	18.907	0.05921079603709914	18.924999999999997	0.010430990152212476	18.618	0.2172060998128696
58706.90454088	n	n	19.954	0.033613092687225114	19.205	0.020751129487331786	19.163	0.013829870068892487	18.927999999999997	0.021124630174278004
58702.90961253	n	n	19.861	0.0	19.013	0.0	19.03	0.0	18.798	0.0
58710.916433  	n	n	20.1115	0.03636189626518439	19.285	0.034113551193037626	19.171	0.010684568311354968	18.979	0.011841546445554378
58717.86941308	n	n	20.0815	0.02465846710564096	19.275	0.030662843964642274	19.3075	0.028839036044917398	19.0125	0.039184308083721225
58814.26008235	n	n	20.647	0.013720058308914679	19.928	0.0468119431843136	19.997	0.04242640687119308	19.68	0.043079423565014305
