#MJD	g	gerr	r	rerr	i	ierr	z	zerr
58634.43342590006	 20.38	0.175666	20.4226	0.164636 n n n n
58637.43361110007	 19.9754	0.145382	20.0254	0.109686 n n n n
58640.46828699997	 19.5727	0.0998925	19.7283	0.120908  n n n n
58643.47346059978	 19.3371	0.11848	19.3292	0.11459 n n n n
58646.46725689992	 19.0892	0.0850938	19.2149	0.100836  n n n n
58649.46984949987	 18.9399	0.0924889	n	n n n n n
58652.44274310022	 18.8523	0.10437	18.92	0.0938711 n n n n
58655.45689810021	 18.7297	0.108408	18.7669	0.117033 n n n n
58658.40196759999	 18.6014	0.0768861	18.6583	0.0759998 n n n n
58661.42995369993	 18.5005	0.0661865	18.581	0.0773653  n n n n
58665.44271990005	 18.4789	0.0593539	18.5353	0.0575376 n n n n
58668.35903939977	 18.4983	0.0688363	18.4879	0.060955  n n n n
58669.48460649978	 18.4938	0.0671659	n	n n n n n
58674.46375000011	 n	n	18.521	0.0787877  n n n n
58677.29875000007	 18.4118	0.0723059	18.3685	0.068822  n n n n
58680.46251159999	 18.296	0.0869786	n	n  n n n n
58683.41910880012	 n	n	18.2973	0.071523  n n n n
58686.46403940022	 18.1912	0.0696473	n	n n n n n
58690.37964119995	 18.2386	0.0645202	18.247	0.0704274  n n n n
58693.3605324002	 18.2838	0.0579518	18.2733	0.0597706 n n n n
58696.38908560015	 18.3365	0.0614975	18.2752	0.0547833 n n n n
58699.44290510006	 18.3466	0.0548908	n	n n n n n
58702.38150459993	 n	n	18.2448	0.0772068 n n n n
58705.44924770016	 18.4429	0.0547742	18.2906	0.0438826 n n n n
58708.48594909999	 18.7038	0.0993497	18.486	0.0566331  n n n n
58711.40118059981	 n	n	18.6345	0.106792  n n n n
58714.3717939998	 19.3001	0.135303	18.7956	0.0940785  n n n n
58717.32653940003	 19.279	0.128136	18.7989	0.0859379 n n n n
58720.40302080009	 19.2442	0.0899733	n	n n n n n
58723.37189809978	 19.1818	0.0900508	18.733	0.0644885  n n n n
58726.30498840008	 19.1128	0.0904851	18.7114	0.0797438 n n n n
58730.38714119978	 19.1641	0.0799517	18.7471	0.0590105 n n n n
58733.37868059985	 n	n	18.8978	0.0766219 n n n n
58736.41510420013	 19.2749	0.143718	18.8999	0.0864642  n n n n
58738.19979170011	 19.6227	0.331784	n	n  n n n n
58739.16605320014	 19.4188	0.261414	18.913	0.164633  n n n n
58740.16646989994	 n	n	18.8883	0.1406  n n n n
58741.1666203998	 19.4026	0.217425	18.9963	0.154187 n n n n
58743.16704860004	 19.6527	0.193199	19.1855	0.127166 n n n n
58744.16598379984	 n	n	19.1489	0.118826  n n n n
58745.16677080002	 19.7497	0.118692	19.1318	0.0884819  n n n n
58746.19113430008	 n	n	19.3115	0.118456  n n n n
58747.16665509995	 19.9718	0.165394	19.2931	0.108186 n n n n
58748.16577549977	 19.9651	0.195954	19.378	0.133074  n n n n
58749.1672685002	 20.0326	0.151458	19.4045	0.10018  n n n n
58750.16754630022	 20.1893	0.233772	19.4431	0.167088 n n n n
58751.16518520005	 20.075	0.192261	19.5148	0.120222  n n n n
58754.16481480002	 20.3505	0.173152	19.6308	0.115065 n n n n
58758.17383099999	 20.379	0.205925	19.8327	0.152705  n n n n
58759.2092708	     n	n	19.6337	0.128837  n n n n
58760.16627309983	 20.4809	0.223042	19.7071	0.120322 n n n n
58761.16526619997	 20.5086	0.29572	19.7229	0.194257  n n n n
58762.19287039991	 20.4295	0.237639	n	n  n n n n
58763.16629630001	 20.6887	0.325267	19.884	0.190235  n n n n
58779.21771989995	 20.8198	0.303478	20.1277	0.167761 n n n n
58782.22635419993	 20.6813	0.281959	n	n  n n n n
58785.24083330016	 20.6702	0.240159	19.9009	0.153611 n n n n
58788.20440969989	 20.4791	0.275095	n	n  n n n n
58790.18486109981	 n	n	19.9591	0.148716  n n n n
58791.10733800009	 n	n	19.6917	0.137398  n n n n
58722.93216381		19.212	0.025491371089057503	18.749	0.011278741064498811	18.644	0.007539893898458103	18.6475	0.016739474304768246
58721.91175062		19.303	0.009999999999999938	18.8015	0.03279390187214657	18.648	0.03448129927946447	18.686	0.023036739309735384
58723.9282641 		19.200499999999998	0.029179616172938582	18.738999999999997	0.01785945127936489	18.586	0.04116260438796399	18.627499999999998	0.041345011791025
58725.98151747		19.082	0.013171560272040314	18.6785	0.024279415149463593	18.575499999999998	0.030591011751819476	18.625500000000002	0.07654044682388465
58728.94138241		19.157	0.016551057368035686	18.707	0.0050109255632069805	18.616	0.0038649062084355197	18.6315	0.007901740314639236
58741.88629579		19.6565	0.020337158110218082	19.0855	0.020831706603156492	18.9375	0.01398892419022988	18.989	0.02587338591613796
58756.94790634		20.3255	0.013843771162511792	19.6685	0.06395435872557895	19.373	0.023750578940312014	19.2705	0.016228370220080533
58761.92563356		20.453	0.006594694837519062	19.8315	0.019339338147930107	19.537	0.015474172029547035	19.38	0.0111333111554451
58773.83900259		20.7755	0.022495332849282765	20.0435	0.035660762751236384	19.7855	0.03969886648255799	19.624	0.03331200984630067
58808.8528189 		21.052	0.02090902915010571	20.610500000000002	0.03285098933061198	20.174	0.03829082788345079	19.935000000000002	0.04572950360544086
58817.83892532		20.899	0.03859585469969549	20.4155	0.03048622639816194	20.059	0.021250417570335182	19.8535	0.029086766750534152
58830.80358215		21.102	0.05628257630085666	20.564500000000002	0.05070305710704224	20.3	0.021378990258891277	19.899	0.01213865473499844
