#MJD		u	uerr	g	gerr	r	rerr	i	ierr	z	zerr
56030.50	n	n	n	n	19.65	0.17	20.28	0.21	n	n
56031.50	n	n	19.73	0.15	n	n	n	n	n	n
56042.50	n	n	18.76	0.14	n	n	n	n	n	n
56045.50	n	n	n	n	n	n	18.91	0.21	n	n
56046.50	n	n	n	n	18.50	0.17	n	n	n	n
56070.38	16.86	0.06	n	n	n	n	n	n	n	n
56071.13	n	n	17.197	0.006	17.515	0.006	17.771	0.006	n	n
56072.92	n	n	17.244	0.004	17.444	0.007	17.827	0.006	17.66	0.009
56076.95	n	n	16.991	0.01	17.268	0.01	17.606	0.006	17.51	0.043
56077.80	16.71	0.06	n	n	n	n	n	n	n	n
56080.94	n	n	16.956	0.012	17.187	0.011	17.555	0.017	n	n
56081.94	n	n	16.959	0.013	17.154	0.013	17.548	0.013	17.41	0.027
56085.69	16.62	0.07	n	n	n	n	n	n	n	n
56091.67	16.58	0.06	n	n	n	n	n	n	n	n
56098.03	16.80	0.06	16.820	0.002	17.161	0.005	17.435	0.009	17.23	0.011
56104.02	n	n	17.030	0.004	17.255	0.003	17.465	0.007	17.25	0.01	
56106.06	16.99	0.08	n	n	n	n	n	n	n	n
56107.44	17.00	0.09	n	n	n	n	n	n	n	n
56112.68	17.32	0.08	n	n	n	n	n	n	n	n
56116.01	n	n	17.021	0.011	17.347	0.007	17.547	0.014	17.34	0.009
56128.03	n	n	n	n	17.420	0.05	n	n	n	n
56148.93	n	n	17.659	0.01	17.724	0.007	17.812	0.011	17.58	0.036
56160.92	n	n	17.924	0.007	17.825	0.005	18.019	0.011	17.58	0.007
56174.85	n	n	18.184	0.013	17.957	0.008	18.155	0.011	17.80	0.015
56191.86	n	n	18.590	0.014	18.238	0.012	18.387	0.011	17.97	0.013
56285.21	n	n	20.083	0.06	19.298	0.02	19.522	0.11	19.04	0.2	
56287.63	n	n	n	n	19.332	0.09	19.534	0.1	19.15	0.11	
56312.15	n	n	20.378	0.05	19.763	0.04	20.144	0.2	19.20	0.24	
56320.21	n	n	20.690	0.1	19.836	0.05	19.783	0.14	19.33	0.12	
#56320.21	n	n	n	n	20.006	0.05	n	n	n	n	
56362		n	n	20.86	0.09	20.36	0.04	20.83	0.11	n	n
56424		n	n	21.36	0.09	n	n	n	n	n	n
56432		n	n	n	n	21.73	0.09	n	n	n	n
56452		n	n	22.25	0.07	22.32	0.04	22.12	0.05	n	n
56530		n	n	23.97	0.39	n	n	23.33	0.16	n	n
