#MJD U Uerr  B  Berr   V  Verr   g   gerr   r   rerr   i  ierr
58207.4  n n  n n  n n  n n  18.80	0.250  n n 
58219.5  n n  n n  n n  n n  18.34	0.200  n n
58223.5  n n  n n  n n  18.332 .188  18.21	0.216  n n
58229.5  n n  n n  n n  n n  17.792	0.679  n n
58233.4  n n  n n  n n  n n  18.047	0.056  n n
58245.4  n n  n n  n n  n n  17.745	0.132  n n
58247.4  n n  n n  n n  n n  17.213	0.323  n n
58251.4  n n  n n  n n  17.622 .157  17.277	0.095  n n
58255.4  n n  n n  n n  n n  16.516	0.134  n n
58259.4  n n  n n  n n  16.35 .022  n n  n n
58259.4  n n  n n  n n  n n  15.975	0.026  n n
58261.2 15.650  0.0198  15.9403  0.0174 15.797  0.0134 15.857 0.0118 15.770 0.015 15.572 0.0103
58261.4  n n  n n  n n  n n  15.737	0.028  n n
58263.2 15.3182  0.0135  15.714  0.0123 15.7045  0.0101  15.652 0.0104 15.585 0.0169 n n
58263.45  n n  n n  n n 15.720  0.0085 15.594 0.0119 15.401 0.0187
58264.0  15.363  0.020 15.786 0.0216  15.572  0.0114 n n  n n  n n
58266.35 n n  n n  n n 15.688  0.0224 15.660  0.0429 n n
58270.1 15.766 0.0175 15.990  0.0195 15.889  0.0135 15.795  0.010 15.630  0.0133 15.410  0.0152
58271.5  n n  n n  n n  n n  15.657 0.038  n n
58273.4  n n  n n  n n  n n  15.65	0.010  n n
